# Costco Wholesale Corporation (COST) daily historical prices from Yahoo Finance
# Generated on: 2026-02-17T15:42:33
# Period: Last 2 years from today
Price	Close	High	Low	Open	Volume
Ticker	COST	COST	COST	COST	COST
Date					
2024-10-30	872.174622	879.595760	870.468121	879.407253	1412200
2024-10-31	867.303284	870.746019	861.816817	870.299546	1771900
2024-11-01	871.565125	873.651349	861.660440	868.545053	1625200
2024-11-04	880.267822	881.191725	870.988956	875.568815	1576700
2024-11-05	884.340881	889.715489	880.992954	882.185108	1622300
2024-11-06	893.361511	894.007279	880.476471	892.397892	2437400
2024-11-07	907.945312	913.458957	888.513400	892.735569	2145500
2024-11-08	937.619751	955.700585	907.766538	908.014901	3277100
2024-11-11	926.771301	945.050838	925.340728	937.619778	2181800
2024-11-12	926.274536	933.407512	920.929761	929.821166	1691400
2024-11-13	927.615662	931.450431	917.154646	923.910106	1757600
2024-11-14	917.840149	925.052618	916.131380	920.929769	1859900
2024-11-15	901.130310	914.522021	899.630188	911.730424	2269900
2024-11-18	913.488831	919.876718	901.170005	904.676918	1797300
2024-11-19	924.059143	927.883908	910.359405	921.923198	1690500
2024-11-20	922.002686	922.717942	910.498498	919.022330	1452100
2024-11-21	949.392090	952.213459	923.910031	928.877289	2320500
2024-11-22	957.697449	969.906949	952.243408	956.435746	2078700
2024-11-25	954.597839	968.615429	943.471168	968.615429	3240900
2024-11-26	965.138367	967.989568	954.597858	957.687479	1438000
2024-11-27	955.253479	965.923141	952.312901	965.098619	1499500
2024-11-29	965.515808	966.896720	956.167394	961.750648	1095900
2024-12-02	968.615479	970.105656	958.442542	964.999300	1955800
2024-12-03	975.718628	976.563038	964.403198	968.307456	1653900
2024-12-04	984.431213	984.659749	971.148768	975.569641	1784700
2024-12-05	975.827942	983.646402	971.794530	980.199093	2089400
2024-12-06	986.110107	991.176748	975.827906	975.827906	1737300
2024-12-09	981.391235	990.481343	974.079445	990.481343	1855500
2024-12-10	986.894958	988.474513	979.424182	983.248947	1556800
2024-12-11	988.176514	1001.200651	987.083741	988.484481	1903600
2024-12-12	981.917725	995.905481	980.745459	995.120676	2344300
2024-12-13	982.871460	1000.087996	959.406135	974.576162	2951900
2024-12-16	986.368408	1001.647701	979.910972	982.573415	2581300
2024-12-17	975.649109	990.391899	974.337745	987.491037	2050200
2024-12-18	958.422546	979.145933	957.687402	975.569532	2725300
2024-12-19	948.547668	968.257777	947.266138	968.128623	2610800
2024-12-20	947.822510	955.640970	936.874652	943.173163	5373800
2024-12-23	943.689758	948.011310	930.864322	947.633793	1856800
2024-12-24	952.541382	953.097712	939.258937	944.514275	939000
2024-12-26	949.878967	953.127513	947.752966	950.554507	969000
2024-12-27	933.546631	944.226237	925.897040	942.507525	1943400
2024-12-30	916.171082	928.052725	909.504999	924.903500	1881200
2024-12-31	910.270020	918.684526	906.564403	917.601698	1742900
2025-01-02	903.852234	919.707744	896.093379	909.008250	1765100
2025-01-03	910.577942	918.157983	905.034465	908.342676	1612200
2025-01-06	916.667847	921.337021	907.289660	911.968779	1970400
2025-01-07	915.336670	925.211583	910.429016	917.790527	1888000
2025-01-08	921.297302	924.406811	909.425542	916.936035	1774800
2025-01-10	930.804626	938.096589	917.452633	927.248052	2765800
2025-01-13	918.644775	928.867371	914.968992	927.883864	1693800
